#
# G.W. Bush Job Ratings
# Source: NBC News/Wall Street Journal 
#   Poll conducted by the polling organizations of Peter Hart (D) and Neil Newhouse (R). June 8-11, 2007. N=1,008 adults nationwide. MoE ± 3.1.
# URL: http://www.pollingreport.com/BushJob1.htm
#

# date, approve%, disapprove%, unsure%
#-------------------------------------
2008-03-10,32,63,5
2008-01-22,31,63,6
2007-12-17,34,60,6
2007-11-05,31,63,6
2007-09-10,33,61,6
2007-07-30,31,63,6
2007-06-11,29,66,5
2007-04-23,35,60,5
2007-03-05,35,60,5
2007-01-20,35,60,5
2006-12-11,34,61,5
2006-10-30,39,57,4
2006-10-16,38,57,5
2006-10-02,39,56,5
2006-09-11,42,53,5
2006-07-24,39,56,5
2006-06-12,37,58,5
2006-04-24,36,57,7
2006-03-13,37,58,5
2006-01-29,39,54,7
2005-12-12,39,55,6
2005-11-07,38,57,5
2005-10-10,39,54,7
2005-09-12,40,55,5
2005-07-11,46,49,5
2005-05-16,47,47,6
2005-04-03,48,46,6
2005-02-14,50,45,5
2005-01-17,50,44,6
2004-12-13,49,44,7
2004-10-31,49,48,3
2004-10-18,49,47,4
2004-09-19,47,48,5
2004-08-25,47,48,5
2004-07-21,48,46,6
2004-06-28,45,49,6
2004-05-03,47,46,7
2004-03-08,50,46,4
2004-01-12,54,41,6
2003-12-14,58,34,9
2003-12-13,52,41,7
2003-11-10,51,44,5
2003-09-22,49,45,6
2003-07-28,56,38,6
2003-05-19,62,31,7
2003-04-13,71,23,6
2003-03-30,66,29,5
2003-03-23,67,28,5
2003-03-17,62,33,5
2003-02-05,61,31,8
2003-01-21,54,40,6
2002-12-09,62,33,5
2002-10-21,63,31,6
2002-09-05,64,30,6
2002-07-21,67,27,6
2002-06-10,69,23,8
2002-05-18,75,18,7
2002-04-07,74,20,6
2002-01-21,82,13,5
2001-12-10,85,11,4
2001-11-11,88,7,5
2001-09-16,82,12,6
2001-06-25,50,35,15
2001-04-23,56,30,14
2001-03-04,57,22,21
